Price,Year,Mileage,City,State,Vin,Make,Model
11750,2014,40373,Kansas City, KS,1G11B5SL3EF234438,Chevrolet,MalibuLS
14500,2014,1779,Safford, AZ,1G11B5SL5EF235087,Chevrolet,MalibuLS
9250,2014,27301,Forest City, NC,1G1PA5SH6E7483559,Chevrolet,CruzeLS
12789,2014,22765,Kannapolis, NC,1G11B5SL4EF151892,Chevrolet,MalibuLS
9777,2014,22995,Scottsdale, AZ,1G1PA5SG1E7425365,Chevrolet,CruzeLS
14000,2014,27158,Junction City, KS,1G11C5SL6EF237993,Chevrolet,Malibu1LT
10995,2014,62853,Cornelius, NC,1G11C5SL4EF266960,Chevrolet,Malibu1LT
11416,2014,59600,Durham, NC,1G11B5SLXEF242827,Chevrolet,MalibuLS
10500,2014,11746,Greensboro, NC,1G1PA5SG9E7349474,Chevrolet,CruzeLS
10132,2014,40414,Overland Park, KS,1G1PA5SH1E7193441,Chevrolet,CruzeLS
11999,2014,33264,Tucson, AZ,1G11A5SL6EF294345,Chevrolet,MalibuLS
13987,2014,23405,Winston Salem, NC,1G11C5SLXEF301954,Chevrolet,Malibu1LT
10795,2014,44318,Avondale, AZ,1G11B5SL9EF158983,Chevrolet,MalibuLS
13995,2014,21799,Emporia, KS,1G11B5SLXEF190065,Chevrolet,MalibuLS
11255,2014,59545,Surprise, AZ,1G11B5SL1EF144690,Chevrolet,MalibuLS
10995,2014,43905,Graham, NC,1G11B5SL1EF214639,Chevrolet,MalibuLS
9500,2014,61726,Merriam, KS,1G1PC5SB3E7458785,Chevrolet,Cruze1LT
9000,2014,74514,Kernersville, NC,1G1PC5SB3E7300222,Chevrolet,Cruze1LT
11995,2014,36619,Topeka, KS,1G1PA5SH9E7195471,Chevrolet,CruzeLS
11995,2014,32408,Charlotte, NC,1G1PG5SB3E7381713,Chevrolet,CruzeLTZ
11994,2014,73778,Merriam, KS,1G11C5SL4EF280843,Chevrolet,Malibu1LT
11495,2014,83255,Scottsdale, AZ,1G11E5SL1EF205740,Chevrolet,Malibu2LT
10998,2014,46475,Charlotte, NC,1G1PA5SH2E7411810,Chevrolet,CruzeLS
13688,2014,50877,Lexington, NC,1G11C5SL0EF201135,Chevrolet,Malibu1LT
10995,2014,45795,Raleigh, NC,1G1PE5SB1E7225319,Chevrolet,Cruze2LT
15988,2014,33475,Topeka, KS,2GNALAEK3E6238099,Chevrolet,EquinoxFWD
11435,2014,47286,Greenville, NC,1G1PK5SB0E7377827,Chevrolet,CruzeLT
12598,2014,64586,Knightdale, NC,1G11C5SL2EF201122,Chevrolet,Malibu1LT
11995,2014,34284,Charlotte, NC,1G1PE5SB6E7308888,Chevrolet,Cruze2LT
8800,2014,76160,Charlotte, NC,1G1PA5SH0E7402653,Chevrolet,CruzeLS
